STNNO,STNNAME,LAT,LONG,ELEV,Elev (m),Start,End
54,Blackwell's Corner,35.649861,-119.9593,705,213.192,10/19/1986,
55,Palm Desert,33.730556,-116.3825,200,60.48,5/26/1987,4/11/1994
56,Los Banos,37.096694,-120.753897,95,28.728,6/28/1988,
57,Buntingville,40.289953,-120.4349,4005,1211.112,6/22/1986,
58,Santa Paula,34.301667,-119.118889,175,52.92,7/30/1987,2/15/1991
59,Tehachapi,35.114167,-118.438611,4110,1242.864,7/29/1986,8/23/1990
60,Barstow,34.903333,-117.115,2180,659.232,11/20/1986,2/20/1992
61,Orland,39.691822,-122.153506,198,59.8752,5/13/1987,
62,Temecula,33.48665,-117.228269,1420,429.408,11/25/1986,
63,Novato,38.121739,-122.543775,25,7.56,7/1/1986,1/18/2002
64,Santa Ynez,34.583144,-120.079239,490,148.176,11/21/1986,
65,Walnut Creek,37.914392,-122.082264,440,133.056,7/22/1987,3/8/2002
66,San Diego,32.733056,-117.134722,370,111.888,4/27/1989,12/19/2001
67,Goleta,34.432222,-119.838889,30,9.072,2/17/1988,4/7/1993
68,Seeley,32.759575,-115.732067,40,12.096,5/29/1987,
69,Santa Clara,37.326189,-121.951822,125,37.8,6/8/1987,11/22/2002
