station_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
35,2.421124,2.437469,2.760646,3.198501,3.302001,3.547599,3.636302,3.542665,3.228647,3.010796,2.679816,2.179132
36,3.028051,3.076009,3.81192,4.337276,4.352071,4.278019,4.229539,4.647418,4.073892,4.176165,3.512059,2.898913
37,3.575085,3.522811,3.544955,3.647134,3.773439,3.677289,3.574397,3.418602,3.377594,3.529422,3.1272,3.248281
38,2.743959,2.939725,3.301677,3.651908,3.551919,3.360656,3.250837,3.251251,2.996477,3.196387,2.694514,2.695721
39,4.185689,3.978981,4.071196,4.274245,4.350202,4.43126,4.023506,4.023481,3.901367,4.519761,3.51711,3.553133
40,3.765529,3.615594,3.594813,3.952074,3.914945,3.937342,3.672523,3.582492,3.509917,4.062358,3.193541,3.356349
41,2.870358,3.045237,3.651794,4.073176,4.235392,3.852631,3.898162,4.153253,3.827636,3.650953,3.250874,2.69809
42,3.271956,3.250413,3.149163,3.472477,3.696528,3.796714,3.818822,3.792949,3.566853,3.54562,3.1,2.953364
43,3.383781,3.429061,3.48368,4.681122,3.943329,3.626842,3.6377,3.837705,3.53864,2.991538,3.474448,2.905076
44,2.756236,2.9523,3.287457,3.746717,3.642696,3.515876,3.544877,3.720504,3.291725,3.317643,2.88873,2.700032
45,2.899027,3.048176,3.597545,3.803289,3.942523,3.750362,3.788795,3.942747,3.795318,3.540802,3.003906,2.752113
46,2.251595,2.239311,2.384394,3.332697,3.138128,2.650793,2.790431,2.899871,2.637274,2.389757,2.254595,2.250008
47,3.407521,3.319237,3.226363,3.559374,3.774329,3.766971,3.771349,3.693965,3.515528,3.672114,3.099218,3.06819
48,2.061545,2.088903,2.227721,3.101262,2.982428,2.527708,2.618304,2.768977,2.469013,2.227618,2.061078,2.077708
49,2.87883,3.142508,3.644744,4.15877,4.099737,3.840217,3.974648,4.160979,3.932565,3.594111,3.124761,2.714634
50,3.197571,3.379326,3.957793,4.480603,4.46633,4.334846,4.491827,4.758189,4.189391,4.128591,3.545225,2.91097
51,3.2992,3.391038,3.220132,3.305857,3.714903,3.601944,3.672734,3.738191,3.46851,3.342964,3.273119,3.090841
52,3.177828,3.360317,3.678917,3.803746,3.672601,3.683233,3.479245,3.490222,3.288633,3.658154,2.990075,3.00244
